block_id,cluster_id,is_anomaly,anomaly_score
blk_1544197837001231312,0,False,1.07367742061615
blk_1811332943268518608,0,False,1.0816842317581177
blk_-7825099227085901664,0,True,1.283739686012268
blk_5076179531601624858,0,False,1.0094211101531982
blk_-3688009783939489932,0,False,1.0861715078353882
blk_-2488242768015281896,0,False,0.9931670427322388
blk_361876524072975725,0,True,1.3031916618347168
blk_8522440494057928612,0,False,1.0947279930114746
blk_-1896576695098440656,0,True,1.2006038427352905
blk_-5739967455971123831,0,False,1.0539805889129639
blk_8239617037971499474,0,True,1.3578622341156006
blk_2703171498968003133,0,True,1.2338793277740479
blk_-8279485174128891828,0,True,1.653754711151123
blk_-5087939924532795057,0,True,1.400692105293274
blk_-6507819547873232828,0,True,1.3468902111053467
blk_-3575261216147450862,0,False,1.0795046091079712
blk_2105431985135084796,0,False,1.089421033859253
blk_-6265517512203116182,0,False,1.0887506008148193
blk_-8240367642559264883,0,False,1.063776969909668
blk_-5270113544917419046,0,False,1.0135010480880737
blk_-6685610835362900837,0,True,1.1855239868164062
blk_-4194977335586343802,0,True,1.5431361198425293
blk_809874278508579676,0,False,1.088422179222107
blk_1639707122986550717,0,False,1.0821208953857422
blk_5446371895143623271,0,True,1.2903739213943481
blk_-9097801596720545417,0,True,1.2986023426055908
blk_7593769786685468136,0,False,1.1022289991378784
blk_-2204565043490841052,0,False,0.9853191375732422
blk_4438299806816545743,0,False,1.0092320442199707
blk_7147038182082421031,0,False,1.0518654584884644
blk_-183485078733034579,0,True,1.4897000789642334
blk_-1547507766134447561,0,False,1.140642523765564
blk_5239572833151913015,0,False,1.0407264232635498
blk_-2252864954347275674,0,False,1.0243240594863892
blk_-240876733651578086,0,False,1.0339759588241577
blk_-5730905636064167029,0,False,1.0072919130325317
blk_-4182543952784946809,0,False,1.0332616567611694
blk_-8564559053757187153,1,True,2.173255443572998
blk_-5445020620913205248,0,True,1.2863346338272095
blk_7834522543694883059,0,True,1.2778337001800537
blk_-4361022357132269669,0,False,1.1086987257003784
blk_-7044024876920809411,0,True,1.4139933586120605
blk_-8195071962501598303,0,False,1.08882737159729
blk_532273579375382069,0,False,1.030144453048706
blk_-4325333309024660608,0,True,1.385007381439209
blk_-6704225939638932097,0,False,1.0030065774917603
blk_-5447417104355795463,1,True,2.6647531986236572
blk_8716244237763720958,0,False,1.1623609066009521
blk_7951884590850562414,0,False,1.07351553440094
blk_6245888896945929332,0,True,1.3004567623138428
blk_9211607823870317301,0,False,1.0887106657028198
blk_3672507426282350473,0,False,1.097265362739563
blk_3686993790966078898,0,True,1.3773798942565918
blk_6287925084148497029,0,False,1.0797169208526611
blk_-6120634070609301891,0,True,1.4345086812973022
blk_-8441547212932974836,0,False,0.9813045263290405
blk_1521910042590759357,0,True,1.1836657524108887
blk_2245059614641031905,0,True,1.659362554550171
blk_8215954742563006973,0,False,1.0592752695083618
blk_8481640719132794798,0,False,1.1330794095993042
blk_157748628134889855,0,True,1.2031186819076538
blk_-4454015458360392650,0,False,0.9993383288383484
blk_7026301335656234995,0,False,1.1058520078659058
blk_4423128029576346005,0,True,1.5086848735809326
blk_4109773370461331836,0,False,1.0504701137542725
blk_7685924775087131441,0,False,1.0287712812423706
blk_8491971867438278117,0,False,1.0416860580444336
blk_3812098456097612223,0,True,1.266460657119751
blk_-3591581543412877,0,True,1.3304630517959595
blk_-83065676709031724,0,False,0.9838135838508606
blk_344295897461734506,0,False,0.994021475315094
blk_3913668650485813026,0,True,1.5396257638931274
blk_8868652335115407465,0,False,1.044482707977295
blk_-5767335154308391971,0,False,1.0998533964157104
blk_2361646089235287192,0,False,1.013394832611084
blk_8883855127181109250,0,False,1.0470846891403198
blk_4312730463359350641,0,False,1.181774377822876
blk_-8531310335568756456,0,True,1.265053391456604
blk_-1054148545512659074,0,True,1.1977323293685913
blk_-496692173417080186,0,False,1.1470434665679932
blk_2639512661454336192,0,False,1.1246418952941895
blk_1561369162754449142,0,False,1.1318775415420532
blk_9113164824428648432,0,False,1.001081109046936
blk_7057749035678383246,0,False,1.0206795930862427
blk_-9148589318975943697,0,False,1.160351276397705
blk_5073858743108971792,0,True,1.6538246870040894
blk_-7191114180562954539,0,False,1.1004301309585571
blk_6023489552739370085,0,True,1.3333945274353027
blk_6571332664694652693,0,False,1.0323874950408936
blk_-3021905229490822954,0,False,1.0646673440933228
blk_-1807532060876835424,0,False,1.136897325515747
blk_-6600217829830043111,0,True,1.2326751947402954
blk_7056434361474521047,0,False,1.070207118988037
blk_7993187890644835536,0,False,1.081650972366333
blk_-1916092370112705752,0,False,1.1236521005630493
blk_7221977567169081938,0,False,1.1086411476135254
blk_945726784656367579,0,False,1.070501446723938
blk_1717858812220360316,0,True,1.3009763956069946
blk_2530388316556124019,0,False,1.0379047393798828
blk_1344575558593443180,1,True,2.5472910404205322
blk_6970777754198889566,0,True,1.4617094993591309
blk_3687311390252141789,0,False,1.0181511640548706
blk_435563557570496061,0,False,1.161218285560608
blk_-2347410753546585946,0,True,1.2953664064407349
blk_5263834491777912456,0,False,1.025375485420227
blk_6936669305011437972,0,False,1.0997576713562012
blk_-2725298317201749678,0,False,1.0872820615768433
blk_7410280219315853030,0,False,1.0599219799041748
blk_5537344225702883577,0,False,1.1240366697311401
blk_7487464087592918281,0,True,1.4019333124160767
blk_1370983923832115648,0,False,1.1631425619125366
blk_4683621961716800358,0,False,1.11135995388031
blk_-6360186373949266757,0,False,1.00233793258667
blk_6702548037706001300,0,False,1.036600947380066
blk_1630801256720409402,0,True,1.2117760181427002
blk_3432636531507738087,0,True,1.4110267162322998
blk_-6795252488912002768,0,True,1.206989049911499
blk_-6865266276462685891,0,False,1.1002700328826904
blk_-3048100091565287612,1,True,2.4943532943725586
blk_-8394978123314571529,0,False,1.0130356550216675
blk_8764693703744759187,0,False,1.0214283466339111
blk_-1412190707253453103,0,False,1.023410439491272
blk_-2220859835087186790,0,False,1.1360745429992676
blk_-8751430031300869919,0,False,1.1710723638534546
blk_-7899488197727730159,0,False,1.0799140930175781
blk_-3136550069450811051,0,False,0.9866638779640198
blk_-3068938607837722121,1,True,2.39819073677063
blk_-3576594458036359576,0,False,1.0888570547103882
blk_6529853194451069175,0,True,1.2781989574432373
blk_-5462418187886984774,0,True,1.5268464088439941
blk_8955601839320747060,0,False,1.0996520519256592
blk_8612762623378306642,0,False,1.1172376871109009
blk_-6309718045191769136,0,False,1.0915617942810059
blk_51963377114659155,0,False,1.0927176475524902
blk_8534237707549154279,0,True,1.461086392402649
blk_-6824176921460244988,0,False,1.006227970123291
blk_7523193419675083274,0,False,1.0992692708969116
blk_8994198928626593670,0,False,1.1210347414016724
blk_6489984623318760970,0,True,1.3007216453552246
blk_8055732282536177581,0,False,1.026458978652954
blk_-1948121300178098870,0,True,1.3348702192306519
blk_-6537466496668089147,0,True,1.481474757194519
blk_-4000271277927010782,1,True,2.5570077896118164
blk_-924839600422356971,0,False,1.0983649492263794
blk_7279262967786525145,0,True,1.3262089490890503
blk_-3409333096954166002,0,False,1.1360501050949097
blk_-3594737009607484116,0,False,1.0595518350601196
blk_-5781752082508616053,0,False,1.0595436096191406
blk_6568407330504668931,0,True,1.5193183422088623
blk_25023618081021823,0,True,1.46467125415802
blk_-2213320791823708243,0,True,1.2349578142166138
blk_-1837671129968400019,0,False,0.9887151122093201
blk_-4385381166285131937,0,True,1.23493492603302
blk_-2618741271315742759,0,False,1.0282337665557861
blk_-7474012484907592424,0,False,1.0173169374465942
blk_-235743506614322547,0,False,1.1285945177078247
blk_-2590057905078537066,0,False,1.1524280309677124
blk_8959689965662480077,0,True,1.206786036491394
blk_3958779775128718911,0,False,1.1118316650390625
